error_rate,continuation_probability,replicate,root_seed,trials,max_rounds,mean_match_length,settled_generation,n_survivors,cooperation_rate,mean_payoff,non_defector_share,share_Always_Cooperate,share_Always_Defect,share_Tit-for-Tat,share_Grim_Trigger,share_Random,share_Pavlov,share_Tit-for-Two-Tats,survivors
0,0.5,0,20260902,800,14,1.9974,103,1,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0,0.5,1,20260903,800,14,2.0032,99,1,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0,0.5,2,20260904,800,14,2.0042,104,1,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0,0.5,3,20260905,800,14,1.9888,104,1,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0,0.5,4,20260906,800,14,1.9958,98,1,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.5,0,20260902,800,14,1.9974,106,1,0.019692,1.059077,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.5,1,20260903,800,14,2.0032,107,1,0.019608,1.058824,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.5,2,20260904,800,14,2.0042,114,1,0.017442,1.052326,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.5,3,20260905,800,14,1.9888,107,1,0.019066,1.057199,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.5,4,20260906,800,14,1.9958,106,1,0.020484,1.060211,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.5,0,20260902,800,14,1.9974,110,1,0.043385,1.128308,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.5,1,20260903,800,14,2.0032,110,1,0.043643,1.129665,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.5,2,20260904,800,14,2.0042,117,1,0.038250,1.114137,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.5,3,20260905,800,14,1.9888,115,1,0.037475,1.111111,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.5,4,20260906,800,14,1.9958,114,1,0.038175,1.112663,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.5,0,20260902,800,14,1.9974,115,1,0.062769,1.184615,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.5,1,20260903,800,14,2.0032,109,1,0.067362,1.198925,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.5,2,20260904,800,14,2.0042,125,1,0.057834,1.167993,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.5,3,20260905,800,14,1.9888,120,1,0.057857,1.169625,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.5,4,20260906,800,14,1.9958,120,1,0.055245,1.163253,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.5,0,20260902,800,14,1.9974,119,1,0.083077,1.244308,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.5,1,20260903,800,14,2.0032,115,1,0.086338,1.252688,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.5,2,20260904,800,14,2.0042,129,1,0.074357,1.215116,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.5,3,20260905,800,14,1.9888,130,1,0.080210,1.234714,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
