error_rate,continuation_probability,replicates,cooperation_rate_mean,cooperation_rate_min,cooperation_rate_max,bistable
0,0.5,5,0.000000,0.000000,0.000000,no
0,0.6,5,0.541445,0.401718,0.609369,no
0,0.7,5,1.000000,1.000000,1.000000,no
0,0.8,5,1.000000,1.000000,1.000000,no
0,0.9,5,1.000000,1.000000,1.000000,no
0,0.95,5,1.000000,1.000000,1.000000,no
0,0.98,5,1.000000,1.000000,1.000000,no
0,0.99,5,1.000000,1.000000,1.000000,no
0.02,0.5,5,0.203441,0.019608,0.333024,yes
0.02,0.6,5,0.506420,0.376001,0.695564,yes
0.02,0.7,5,0.944240,0.931971,0.970937,no
0.02,0.8,5,0.950158,0.922012,0.968954,no
0.02,0.9,5,0.964594,0.960041,0.966504,no
0.02,0.95,5,0.962417,0.960746,0.963775,no
0.02,0.98,5,0.961696,0.960054,0.963241,no
0.02,0.99,5,0.960532,0.959265,0.962106,no
0.04,0.5,5,0.098917,0.038175,0.331132,no
0.04,0.6,5,0.335986,0.038100,0.668616,yes
0.04,0.7,5,0.903256,0.878902,0.939696,no
0.04,0.8,5,0.920284,0.863983,0.941169,no
0.04,0.9,5,0.931005,0.925861,0.937038,no
0.04,0.95,5,0.928016,0.926205,0.928896,no
0.04,0.98,5,0.925102,0.923755,0.927600,no
0.04,0.99,5,0.923815,0.922534,0.925085,no
0.06,0.5,5,0.150135,0.057857,0.330984,no
0.06,0.6,5,0.177789,0.060158,0.402282,yes
0.06,0.7,5,0.821926,0.736711,0.899688,no
0.06,0.8,5,0.886748,0.837035,0.906422,no
0.06,0.9,5,0.896938,0.888639,0.903277,no
0.06,0.95,5,0.894609,0.891975,0.897360,no
0.06,0.98,5,0.892682,0.889185,0.898152,no
0.06,0.99,5,0.890432,0.887534,0.892900,no
0.08,0.5,5,0.122944,0.077592,0.287501,no
0.08,0.6,5,0.167547,0.081738,0.302511,no
0.08,0.7,5,0.710753,0.528814,0.869633,yes
0.08,0.8,5,0.868153,0.856132,0.877436,no
