error_rate,cooperation_rate,normalised,rate_min,rate_max,above_cutoff,censored
0,1.000000,1.000000,1.000000,1.000000,yes,no
0.02,0.960532,0.979721,0.959265,0.962106,yes,no
0.04,0.923815,0.960668,0.922534,0.925085,yes,no
0.06,0.890432,0.943673,0.887534,0.892900,yes,no
0.08,0.858892,0.927253,0.855349,0.860521,yes,no
0.1,0.828867,0.911084,0.825644,0.830170,yes,no
0.12,0.800036,0.894784,0.798910,0.800878,yes,no
0.14,0.771955,0.877715,0.770264,0.773869,yes,no
0.16,0.747886,0.864538,0.745906,0.748964,yes,no
0.18,0.724256,0.850400,0.722968,0.725872,yes,no
0.2,0.701438,0.835731,0.700584,0.703032,yes,no
0.22,0.681050,0.823304,0.679533,0.681846,yes,no
0.24,0.662271,0.812060,0.660943,0.663016,yes,no
0.26,0.643800,0.799583,0.641441,0.645538,yes,no
0.28,0.626936,0.788490,0.624319,0.628868,yes,no
0.3,0.551031,0.627577,0.311553,0.613215,yes,no
0.32,0.378407,0.162243,0.318496,0.595546,no,no
0.34,0.342650,0.008281,0.336726,0.352799,no,no
0.35,0.354221,0.014071,0.347032,0.362042,no,no
