error_rate,continuation_probability,pool15,control7,difference
0,0.5,0.000000,0.000000,0.000000
0,0.6,0.541445,0.000000,0.541445
0,0.7,1.000000,1.000000,0.000000
0,0.8,1.000000,1.000000,0.000000
0,0.9,1.000000,1.000000,0.000000
0,0.95,1.000000,1.000000,-0.000000
0,0.98,1.000000,1.000000,0.000000
0,0.99,1.000000,1.000000,0.000000
0.02,0.5,0.203441,0.019259,0.184183
0.02,0.6,0.506420,0.020207,0.486214
0.02,0.7,0.944240,0.205384,0.738856
0.02,0.8,0.950158,0.743691,0.206467
0.02,0.9,0.964594,0.765934,0.198660
0.02,0.95,0.962417,0.887984,0.074433
0.02,0.98,0.961696,0.830631,0.131065
0.02,0.99,0.960532,0.723372,0.237160
0.04,0.5,0.098917,0.040186,0.058731
0.04,0.6,0.335987,0.040992,0.294995
0.04,0.7,0.903256,0.040567,0.862689
0.04,0.8,0.920284,0.708221,0.212063
0.04,0.9,0.931005,0.714091,0.216914
0.04,0.95,0.928016,0.839844,0.088172
0.04,0.98,0.925102,0.712282,0.212820
0.04,0.99,0.923815,0.769182,0.154632
0.06,0.5,0.150135,0.060213,0.089921
0.06,0.6,0.177789,0.060203,0.117587
0.06,0.7,0.821926,0.059511,0.762415
0.06,0.8,0.886747,0.812398,0.074350
0.06,0.9,0.896938,0.823607,0.073331
0.06,0.95,0.894609,0.810086,0.084523
0.06,0.98,0.892682,0.739845,0.152836
0.06,0.99,0.890432,0.499854,0.390579
0.08,0.5,0.122943,0.080315,0.042629
0.08,0.6,0.167547,0.080535,0.087012
0.08,0.7,0.710753,0.078995,0.631758
0.08,0.8,0.868153,0.636541,0.231612
0.08,0.9,0.865370,0.793438,0.071931
0.08,0.95,0.862375,0.739280,0.123095
0.08,0.98,0.861375,0.719079,0.142296
0.08,0.99,0.858892,0.751790,0.107102
0.1,0.5,0.142442,0.102117,0.040325
0.1,0.6,0.102421,0.102421,0.000000
0.1,0.7,0.317160,0.099788,0.217372
0.1,0.8,0.839651,0.336338,0.503313
0.1,0.9,0.834554,0.729477,0.105078
0.1,0.95,0.831203,0.715384,0.115819
0.1,0.98,0.831143,0.586797,0.244346
0.1,0.99,0.828867,0.564740,0.264128
0.12,0.5,0.157432,0.121721,0.035711
0.12,0.6,0.161118,0.121721,0.039397
0.12,0.7,0.189135,0.119167,0.069968
0.12,0.8,0.792966,0.118587,0.674379
0.12,0.9,0.807459,0.730662,0.076797
0.12,0.95,0.803196,0.614359,0.188836
0.12,0.98,0.801437,0.571979,0.229458
0.12,0.99,0.800035,0.502330,0.297706
0.14,0.5,0.170615,0.139363,0.031252
0.14,0.6,0.174982,0.139324,0.035658
0.14,0.7,0.137137,0.137137,0.000000
0.14,0.8,0.678675,0.137168,0.541506
0.14,0.9,0.779934,0.488268,0.291665
0.14,0.95,0.774397,0.493144,0.281253
0.14,0.98,0.773266,0.658634,0.114631
0.14,0.99,0.771955,0.478392,0.293563
0.16,0.5,0.158532,0.158532,0.000000
0.16,0.6,0.159109,0.159109,0.000000
0.16,0.7,0.157179,0.157179,0.000000
0.16,0.8,0.386450,0.158117,0.228333
0.16,0.9,0.754528,0.287017,0.467511
0.16,0.95,0.750323,0.276168,0.474155
0.16,0.98,0.750249,0.203220,0.547029
0.16,0.99,0.747885,0.183145,0.564741
0.18,0.5,0.177797,0.177797,0.000000
0.18,0.6,0.178298,0.178298,0.000000
0.18,0.7,0.176109,0.176109,0.000000
0.18,0.8,0.177446,0.177446,0.000000
0.18,0.9,0.700772,0.177973,0.522798
0.18,0.95,0.725486,0.281614,0.443872
0.18,0.98,0.726504,0.217659,0.508845
0.18,0.99,0.724256,0.200043,0.524214
0.2,0.5,0.196381,0.196381,0.000000
0.2,0.6,0.196298,0.196298,0.000000
0.2,0.7,0.194626,0.194626,0.000000
0.2,0.8,0.196583,0.196583,0.000000
0.2,0.9,0.666955,0.197756,0.469199
0.2,0.95,0.703283,0.234896,0.468387
0.2,0.98,0.704067,0.232981,0.471086
0.2,0.99,0.701438,0.217787,0.483651
0.22,0.5,0.216439,0.216439,0.000000
0.22,0.6,0.215810,0.215810,0.000000
0.22,0.7,0.214999,0.214999,0.000000
0.22,0.8,0.216839,0.216839,0.000000
0.22,0.9,0.341855,0.217594,0.124261
0.22,0.95,0.683304,0.235198,0.448106
0.22,0.98,0.683397,0.240542,0.442855
0.22,0.99,0.681050,0.231422,0.449629
0.24,0.5,0.236806,0.236806,0.000000
0.24,0.6,0.236203,0.236203,0.000000
0.24,0.7,0.235782,0.235782,0.000000
0.24,0.8,0.237052,0.237052,0.000000
0.24,0.9,0.237836,0.237836,0.000000
0.24,0.95,0.424027,0.253622,0.170405
0.24,0.98,0.663962,0.253296,0.410666
0.24,0.99,0.662271,0.253232,0.409039
0.26,0.5,0.258826,0.258826,0.000000
0.26,0.6,0.257913,0.257913,0.000000
0.26,0.7,0.256781,0.256781,0.000000
0.26,0.8,0.257954,0.257954,0.000000
0.26,0.9,0.258350,0.258350,0.000000
0.26,0.95,0.272582,0.258912,0.013671
0.26,0.98,0.644839,0.276598,0.368240
0.26,0.99,0.643800,0.272308,0.371492
0.28,0.5,0.280271,0.280271,0.000000
0.28,0.6,0.280221,0.280221,0.000000
0.28,0.7,0.278093,0.278093,0.000000
0.28,0.8,0.278344,0.278344,0.000000
0.28,0.9,0.278431,0.278431,0.000000
0.28,0.95,0.278949,0.278949,0.000000
0.28,0.98,0.627937,0.289271,0.338666
0.28,0.99,0.626936,0.284831,0.342105
0.3,0.5,0.299571,0.299571,0.000000
0.3,0.6,0.298908,0.298908,0.000000
0.3,0.7,0.297110,0.297110,0.000000
0.3,0.8,0.298481,0.298481,0.000000
0.3,0.9,0.298457,0.298457,0.000000
0.3,0.95,0.298736,0.298736,0.000000
0.3,0.98,0.433813,0.308024,0.125789
0.3,0.99,0.551031,0.307077,0.243954
0.32,0.5,0.318970,0.318970,0.000000
0.32,0.6,0.318230,0.318230,0.000000
0.32,0.7,0.316778,0.316778,0.000000
0.32,0.8,0.318116,0.318116,0.000000
0.32,0.9,0.317764,0.317764,0.000000
0.32,0.95,0.326616,0.326616,-0.000000
0.32,0.98,0.331023,0.326540,0.004483
0.32,0.99,0.378407,0.325882,0.052525
0.34,0.5,0.338690,0.338690,0.000000
0.34,0.6,0.338805,0.338805,0.000000
0.34,0.7,0.338315,0.338315,0.000000
0.34,0.8,0.338760,0.338760,0.000000
0.34,0.9,0.338085,0.338085,0.000000
0.34,0.95,0.347767,0.347767,-0.000000
0.34,0.98,0.345327,0.345327,-0.000000
