generation,Always_Cooperate,Always_Defect,Tit-for-Tat,Grim_Trigger,Random,Pavlov,Tit-for-Two-Tats
0,0.14285714,0.14285714,0.14285714,0.14285714,0.14285714,0.14285714,0.14285714
1,0.13957386,0.13127457,0.15011460,0.15432436,0.13048932,0.14659656,0.14762674
2,0.13711112,0.11825707,0.15751354,0.16604230,0.11795560,0.15054183,0.15257855
3,0.13534818,0.10436472,0.16488728,0.17776668,0.10546878,0.15458897,0.15757540
4,0.13415852,0.09020827,0.17205739,0.18923007,0.09325164,0.15862196,0.16247216
5,0.13341705,0.07638324,0.17885207,0.20016849,0.08152404,0.16252458,0.16713053
6,0.13300769,0.06340453,0.18512495,0.21034987,0.07048609,0.16619307,0.17143380
7,0.13282945,0.05165682,0.19076994,0.21959788,0.06030111,0.16954675,0.17529805
8,0.13280030,0.04137131,0.19572859,0.22780559,0.05108287,0.17253404,0.17867729
9,0.13285805,0.03263050,0.19998920,0.23493683,0.04289017,0.17513318,0.18156206
10,0.13295892,0.02539450,0.20357916,0.24101697,0.03572915,0.17734841,0.18397290
11,0.13307437,0.01953804,0.20655370,0.24611733,0.02956189,0.17920344,0.18595122
12,0.13318750,0.01488799,0.20898403,0.25033791,0.02431832,0.18073423,0.18755003
13,0.13328951,0.01125431,0.21094723,0.25379179,0.01990852,0.18198250,0.18882614
14,0.13337684,0.00845194,0.21251886,0.25659325,0.01623363,0.18299084,0.18983464
15,0.13344903,0.00631370,0.21376832,0.25884983,0.01319413,0.18379943,0.19062556
16,0.13350724,0.00469624,0.21475650,0.26065793,0.01069553,0.18444429,0.19124227
17,0.13355334,0.00348118,0.21553510,0.26210103,0.00865175,0.18495649,0.19172112
18,0.13358936,0.00257343,0.21614701,0.26324954,0.00698664,0.18536217,0.19209184
19,0.13361724,0.00189825,0.21662712,0.26416184,0.00563434,0.18568287,0.19237833
20,0.13363866,0.00139779,0.21700348,0.26488557,0.00453889,0.18593610,0.19259950
21,0.13365503,0.00102787,0.21729841,0.26545930,0.00365328,0.18613592,0.19277019
22,0.13366749,0.00075503,0.21752956,0.26591395,0.00293846,0.18629357,0.19290194
23,0.13367696,0.00055413,0.21771078,0.26627423,0.00236223,0.18641797,0.19300370
24,0.13368413,0.00040641,0.21785297,0.26655977,0.00189818,0.18651617,0.19308237
25,0.13368956,0.00029791,0.21796462,0.26678616,0.00152477,0.18659373,0.19314325
26,0.13369368,0.00021829,0.21805237,0.26696573,0.00122448,0.18665503,0.19319043
27,0.13369679,0.00015989,0.21812141,0.26710824,0.00098312,0.18670351,0.19322704
28,0.13369915,0.00011708,0.21817579,0.26722140,0.00078920,0.18674188,0.19325551
29,0.13370093,0.00008572,0.21821866,0.26731130,0.00063345,0.18677227,0.19327766
30,0.13370229,0.00006275,0.21825250,0.26738278,0.00050838,0.18679637,0.19329494
31,0.13370332,0.00004592,0.21827924,0.26743963,0.00040797,0.18681549,0.19330843
32,0.13370410,0.00003361,0.21830038,0.26748489,0.00032737,0.18683067,0.19331898
33,0.13370470,0.00002459,0.21831713,0.26752093,0.00026268,0.18684273,0.19332725
34,0.13370516,0.00001799,0.21833039,0.26754964,0.00021076,0.18685232,0.19333374
35,0.13370551,0.00001317,0.21834092,0.26757253,0.00016910,0.18685995,0.19333883
36,0.13370577,0.00000963,0.21834927,0.26759079,0.00013567,0.18686602,0.19334284
37,0.13370598,0.00000705,0.21835591,0.26760536,0.00010884,0.18687086,0.19334600
38,0.13370614,0.00000516,0.21836118,0.26761699,0.00008732,0.18687472,0.19334849
39,0.13370626,0.00000377,0.21836538,0.26762628,0.00007006,0.18687779,0.19335046
40,0.13370635,0.00000276,0.21836873,0.26763369,0.00005620,0.18688025,0.19335202
41,0.13370642,0.00000202,0.21837139,0.26763962,0.00004509,0.18688221,0.19335325
42,0.13370648,0.00000148,0.21837351,0.26764436,0.00003617,0.18688377,0.19335423
43,0.13370652,0.00000108,0.21837520,0.26764815,0.00002902,0.18688502,0.19335500
44,0.13370666,0.00000000,0.21837673,0.26765140,0.00002328,0.18688617,0.19335577
45,0.13370668,0.00000000,0.21837775,0.26765375,0.00001867,0.18688693,0.19335621
46,0.13370670,0.00000000,0.21837857,0.26765564,0.00001498,0.18688755,0.19335656
47,0.13370671,0.00000000,0.21837922,0.26765716,0.00001202,0.18688805,0.19335684
48,0.13370672,0.00000000,0.21837975,0.26765838,0.00000964,0.18688844,0.19335707
49,0.13370673,0.00000000,0.21838017,0.26765935,0.00000773,0.18688876,0.19335725
50,0.13370673,0.00000000,0.21838051,0.26766014,0.00000620,0.18688902,0.19335740
51,0.13370674,0.00000000,0.21838079,0.26766076,0.00000498,0.18688922,0.19335751
52,0.13370674,0.00000000,0.21838100,0.26766127,0.00000399,0.18688939,0.19335761
53,0.13370674,0.00000000,0.21838118,0.26766167,0.00000320,0.18688952,0.19335768
54,0.13370675,0.00000000,0.21838132,0.26766200,0.00000257,0.18688962,0.19335774
55,0.13370675,0.00000000,0.21838143,0.26766226,0.00000206,0.18688971,0.19335779
56,0.13370675,0.00000000,0.21838152,0.26766247,0.00000165,0.18688978,0.19335783
57,0.13370675,0.00000000,0.21838160,0.26766263,0.00000133,0.18688983,0.19335786
58,0.13370675,0.00000000,0.21838165,0.26766277,0.00000106,0.18688987,0.19335789
59,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
60,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
61,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
62,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
