error_rate,continuation_probability,replicate,root_seed,trials,max_rounds,mean_match_length,settled_generation,n_survivors,cooperation_rate,mean_payoff,non_defector_share,share_Always_Cooperate,share_Always_Defect,share_Tit-for-Tat,share_Tit-for-Two-Tats,share_Two-Tits-for-Tat,share_Grim_Trigger,share_Generous_TFT,share_Contrite_TFT,share_Pavlov,share_Suspicious_TFT,share_Prober,share_Gradual,share_Soft_Majority,share_Random,share_Alternator,survivors
0,0.5,0,20260902,800,14,2.0026,323,2,0.000000,1.000000,0.301129,0.000000,0.698871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.301129,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect;Suspicious TFT"
0,0.5,1,20260903,800,14,1.9999,331,2,0.000000,1.000000,0.320301,0.000000,0.679699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.320301,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect;Suspicious TFT"
0,0.5,2,20260904,800,14,1.9973,336,2,0.000000,1.000000,0.304333,0.000000,0.695667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.304333,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect;Suspicious TFT"
0,0.5,3,20260905,800,14,1.9926,281,2,0.000000,1.000000,0.291754,0.000000,0.708246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.291754,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect;Suspicious TFT"
0,0.5,4,20260906,800,14,2.0016,552,2,0.000000,1.000000,0.352713,0.000000,0.647287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.352713,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect;Suspicious TFT"
0.02,0.5,0,20260902,800,14,2.0026,4246,4,0.333024,1.897228,0.849617,0.000000,0.150383,0.222661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.479871,0.000000,0.000000,0.000000,0.000000,0.147086,"Always Defect;Tit-for-Tat;Suspicious TFT;Alternator"
0.02,0.5,1,20260903,800,14,1.9999,3230,1,0.019608,1.058824,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.5,2,20260904,800,14,1.9973,8027,4,0.313838,1.848267,0.828667,0.000000,0.171333,0.000000,0.000000,0.000000,0.000000,0.000000,0.202213,0.000000,0.480785,0.000000,0.000000,0.000000,0.000000,0.145669,"Always Defect;Contrite TFT;Suspicious TFT;Alternator"
0.02,0.5,3,20260905,800,14,1.9926,11662,5,0.330253,1.882606,0.835167,0.000000,0.164833,0.234147,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469972,0.006170,0.000000,0.000000,0.000000,0.124878,"Always Defect;Tit-for-Tat;Suspicious TFT;Prober;Alternator"
0.02,0.5,4,20260906,800,14,2.0016,2874,1,0.020484,1.060211,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.5,0,20260902,800,14,2.0026,1743,1,0.043385,1.128308,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.5,1,20260903,800,14,1.9999,2731,1,0.043643,1.129665,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.5,2,20260904,800,14,1.9973,1442,1,0.038250,1.114137,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.5,3,20260905,800,14,1.9926,7556,5,0.331132,1.873704,0.809475,0.000000,0.190525,0.278777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.457091,0.017083,0.000000,0.000000,0.000000,0.056523,"Always Defect;Tit-for-Tat;Suspicious TFT;Prober;Alternator"
0.04,0.5,4,20260906,800,14,2.0016,2011,1,0.038175,1.112663,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.5,0,20260902,800,14,2.0026,1079,1,0.062769,1.184615,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.5,1,20260903,800,14,1.9999,1378,1,0.067362,1.198925,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
